Aeropuerto;Nombre;Municipio;Pais;departamento
FRA;FRANKFURT MAIN;FRANKFURT;ALEMANIA;
MUC;AEROPUERTO INTERNACIONAL DE MUNICH;MUNICH;ALEMANIA;
HHN;FRANKFURT HAHN;FRANKFURT;ALEMANIA;
ANU;ANTIGUA  LEEWARDS V.C.BIRD,;ST. JOHN'S;ANTIGUA AND BARBUDA;
PTP;LE RAIZET;POINTE A PITRE;ANTILLAS FRANCESAS;
AUA;REINA BEATRIX INTL;ARUBA;ANTILLAS HOLANDESAS;
CUR;HATO;CURACAO;ANTILLAS HOLANDESAS;
SXM;PRINCESS JULIANA INTL;SAN MARTIN;ANTILLAS HOLANDESAS;
BON;FLAMINGO;BONAIRE;ANTILLAS HOLANDESAS;
BUE;MINISTRO PISTARINI;BUENOS AIRES;ARGENTINA;
SLA;SALTA, S.;SALTA;ARGENTINA;
NAS;NASSAU INTL;NASSAU;BAHAMAS;
BGI;GRANTLEY ADAMS INTL;BRIDGENTOWN;BARBADOS;
BRU;BRUXELLES;BRUSELAS;BELGICA;
BZE;PHILIP S W GOLDSON INTL;BELIZE;BELIZE;
VVI;VIRU VIRU INTL;VIRU VIRU;BOLIVIA;
LPB;EL ALTO INTERNACIONAL;LA PAZ;BOLIVIA;
CBB;JORGE WILSTERMAN;COCHABAMBA;BOLIVIA;
OCL;COBIJA;PANDO;BOLIVIA;
BSB;PRESIDENTE JUSCELINO KUBITSCHEK;BRASILIA;BRASIL;
GRU;GUARULHOS;SAO PAULO;BRASIL;
RIO;GALEAO ANTONIO CARLOS JOBIM;RIO DE JANEIRO;BRASIL;
GIG;RIO DE JANEIRO - GALEAO;RIO DE JANEIRO;BRASIL;
CPQ;VIRACOPOS;SAO PAULO;BRASIL;
BCT;AFONSO PENA;CURITIBA;BRASIL;
MAO;EDUARDO GOMES INTL;MANAUS;BRASIL;
SAO;CONGONHAS;SAO PAULO;BRASIL;
FOR;FORTALEZA;FORTALEZA;BRASIL;
SSA;DOS DE JULIO;SALVADOR;BRASIL;
REC;GUARARAPES/PERMAMBUCO;RECIFE;BRASIL;
BPA;SALGADO FHILO;PORTO ALEGRE;BRASIL;
TBT;TABATINGA;TABATINGA;BRASIL;
YYZ;LESTER B PEARSON INTL;TORONTO;CANADA;
YHZ;HALIFAX INTL. N. S.;ENFIELD;CANADA;
YUL;MONTRÉAL-PIERRE ELLIOTT TRUDEAU INT;MONTREAL;CANADA;
YVR;VANCOUVER INTERNATIONAL;VANCOUVER;CANADA;
YHM;HAMILTON;HAMILTON;CANADA;
SCL;ARTURO MERINO BENITEZ INTL;SANTIAGO;CHILE;
ARI;CHACALLUTA;ARICA;CHILE;
PVG;PU DONG;SHANGHAI;CHINA;
A06;EL ENCANTO;EL ENCANTO;COLOMBIA;Amazonas
A07;MORICHAL VIEJO;SAN JOSE DEL GUAVIARE;COLOMBIA;Putumayo
A13;MIRITI PARANA;MIRITI-PARANA;COLOMBIA;La Guajira
IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;COLOMBIA;Santander
LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;Amazonas
LET;LETICIA-ALFREDO VASQUEZ COBO;LETICIA;COLOMBIA;Amazonas
LEV;LA GAVIOTA - VICHADA;LA GAVIOTA;COLOMBIA;Cauca
LPD;LA PEDRERA;LA PEDRERA;COLOMBIA;Amazonas
MAP;MAPIRIPAN;MAPIRIPAN;COLOMBIA;Meta
MDR;PIEDRA ÑI;MITU;COLOMBIA;Vaupés
MIT;ACARICUARA;MITU;COLOMBIA;Vaupés
MPI;PIRACUARA;MITU;COLOMBIA;Vaupés
MSO;SONAÑA;MITU;COLOMBIA;Vaupés
MTS;TERESITA;MITU;COLOMBIA;Vaupés
MYA;YAPU;MITU;COLOMBIA;Vaupés
ORC;OROCUE;OROCUE;COLOMBIA;Casanare
PCE;CUMARIBO;PUERTO CARRENO;COLOMBIA;Vichada
PIM;LA PRIMAVERA;LA PRIMAVERA;COLOMBIA;Vichada
PUR;PUERTO ARICA;LETICIA;COLOMBIA;Amazonas
SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;Guaviare
SRO;SANTA ROSALIA;SANTA ROSALIA;COLOMBIA;Vichada
TAP;TARAPACA;LETICIA;COLOMBIA;Amazonas
LMC;LA MACARENA - META;LA MACARENA;COLOMBIA;Meta
GRM;GUERIMA;PUERTO CARRENO;COLOMBIA;Vichada
LQM;PUERTO LEGUIZAMO;PUERTO LEGUIZAMO;COLOMBIA;Putumayo
PGM;PUERTO GAITAN;PUERTO GAITAN;COLOMBIA;Meta
TAR;TARAIRA;TARAIRA;COLOMBIA;Vaupés
URM;URIBE;URIBE;COLOMBIA;Meta
VLA;VILLANUEVA - CASANARE;VILLANUEVA;COLOMBIA;Bolívar
VVN;NEIVA YORK - MILENA;VILLAVICENCIO;COLOMBIA;Meta
AXM;EL EDEN;ARMENIA;COLOMBIA;Antioquia
MDE;RIONEGRO - JOSE M. CORDOVA;RIONEGRO;COLOMBIA;Antioquia
MTU;MATUPA;SAN MARTIN;COLOMBIA;Cesar
VCC;EL DIAMANTE -  META;SAN CARLOS DE GUAROA;COLOMBIA;Meta
7IK;LA PAMELA;SANTA ROSALIA;COLOMBIA;Vichada
ARC;PERENCO;YOPAL;COLOMBIA;Casanare
CRU;CARURU;CARURU;COLOMBIA;Vaupés
MGU;SAN MIGUEL - VAUPES;MITU;COLOMBIA;Vaupés
MTC;PAPUNAGUA - PTO. SOLANO;MITU;COLOMBIA;Vaupés
MTI;TIQUIE;MITU;COLOMBIA;Vaupés
PCA;PACOA;PACOA;COLOMBIA;Vaupés
PID;PUERTO INIRIDA;PUERTO INIRIDA;COLOMBIA;Guainía
PTC;LA VICTORIA;PUERTO CARRENO;COLOMBIA;Vichada
TPI;TOMACHIPAN;SAN JOSE DEL GUAVIARE;COLOMBIA;Guaviare
LPR;EL CIMARRON;LA PRIMAVERA;COLOMBIA;Vichada
MBQ;BOCOA QUERARI;MITU;COLOMBIA;Vaupés
MCL;CAÑO COLORADO;MITU;COLOMBIA;Vaupés
