Codigo Centro Poblado,Nombre centro poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
5001000,MEDELLÍN,EOH,3.07967291,True,7IC,52.67179641,URR,62.45094172,EOH,3.07967291,MDE,19.78362876,Internacional
5001001,PALMITAS,EOH,17.55454828,True,7FX,61.18342718,URR,49.85921309,EOH,17.55454828,MDE,35.59064494,Internacional
5001004,SANTA ELENA,EOH,9.853178054,True,7IC,49.77671062,URR,71.82711814,EOH,9.853178054,MDE,10.06900685,Internacional
5001009,ALTAVISTA,EOH,4.22878985,True,7IC,50.07859843,URR,57.80080211,EOH,4.22878985,MDE,23.64064374,Internacional
5001010,AGUAS FRÍAS,EOH,5.142963621,True,7IC,51.18130596,URR,56.86918776,EOH,5.142963621,MDE,24.65814658,Internacional
5001012,LA LOMA,EOH,6.929234482,True,7IC,55.16639267,URR,56.86609006,EOH,6.929234482,MDE,25.63416744,Internacional
5001013,SAN JOSÉ DEL MANZANILLO,EOH,2.991441417,True,7IC,48.10432543,URR,59.86055268,EOH,2.991441417,MDE,21.53220268,Internacional
5001014,BARRO BLANCO,MDE,9.910324403,True,7IC,53.18550201,URR,74.03188967,EOH,12.585498,MDE,9.910324403,Internacional
5001015,EL CERRO,MDE,8.601925315,True,7IC,49.23270972,URR,73.16763075,EOH,11.17167788,MDE,8.601925315,Internacional
5001017,EL PATIO,EOH,9.264282146,True,7IC,56.33188972,URR,54.41159201,EOH,9.264282146,MDE,28.1894788,Internacional
5001018,EL PLACER,MDE,10.23760532,True,7IC,51.63102128,URR,72.51160452,EOH,10.77567868,MDE,10.23760532,Internacional
5001019,EL PLAN,EOH,8.159628053,True,7IC,48.814953,URR,70.15342422,EOH,8.159628053,MDE,11.43671949,Internacional
5001022,LA ALDEA,EOH,18.46221857,True,7FX,62.27057162,URR,48.40788781,EOH,18.46221857,MDE,36.77572597,Internacional
5001023,LA CUCHILLA,EOH,10.7159813,True,7IC,58.09252237,URR,53.99225101,EOH,10.7159813,MDE,29.24587185,Internacional
5001025,LA PALMA,EOH,8.682349617,True,7IC,55.810063,URR,54.79716942,EOH,8.682349617,MDE,27.67066574,Internacional
5001027,LAS PLAYAS,EOH,9.650026624,True,7IC,57.04593468,URR,54.5407788,EOH,9.650026624,MDE,28.34937478,Internacional
5001029,PIEDRA GORDA,EOH,10.31996853,True,7IC,52.59741005,URR,71.77700224,EOH,10.31996853,MDE,11.41667834,Internacional
5001031,POTRERITO,EOH,9.520142272,True,7IC,46.10494664,URR,54.68569704,EOH,9.520142272,MDE,27.15307881,Internacional
5001032,TRAVESÍAS,EOH,9.426007658,True,7IC,57.27457639,URR,55.19825594,EOH,9.426007658,MDE,27.88639261,Internacional
5001033,URQUITA,EOH,20.61234749,True,7FX,60.16085427,URR,48.78910902,EOH,20.61234749,MDE,38.28789968,Internacional
5001035,BOQUERÓN,EOH,12.97193751,True,7IC,60.61273969,URR,53.40115885,EOH,12.97193751,MDE,30.93844345,Internacional
5001039,EL LLANO 1,EOH,10.51488043,True,7IC,58.16087528,URR,54.43320812,EOH,10.51488043,MDE,28.9098649,Internacional
5001040,EL LLANO,MDE,9.642348246,True,7IC,48.50538142,URR,71.91721456,EOH,9.934416074,MDE,9.642348246,Internacional
5001048,LA VERDE,EOH,6.350251809,True,7IC,46.47883057,URR,57.53936741,EOH,6.350251809,MDE,24.04626057,Internacional
5001052,MATASANO,EOH,11.52529249,True,7IC,55.30964805,URR,71.9488134,EOH,11.52529249,MDE,13.07527666,Internacional
5001054,MATASANO 2,EOH,10.74482782,True,7IC,55.96319771,URR,70.5495543,EOH,10.74482782,MDE,14.6228595,Internacional
5001055,MAZO,EOH,10.59858008,True,7IC,54.04213704,URR,71.51846671,EOH,10.59858008,MDE,12.52747254,Internacional
5001057,MEDIA LUNA,EOH,8.51480649,True,7IC,52.78410709,URR,69.7430198,EOH,8.51480649,MDE,13.2905113,Internacional
5001066,LAS CAMELIAS,EOH,6.420555079,True,7IC,47.27232195,URR,56.87621972,EOH,6.420555079,MDE,24.62458397,Internacional
5002000,ABEJORRAL,7IC,19.35841038,True,7IC,19.35841038,MQU,88.04237782,EOH,51.16075734,MDE,41.7246636,Aeródromo
5002002,PANTANILLO,7IC,13.31455857,True,7IC,13.31455857,MQU,88.47882984,EOH,55.60437658,MDE,48.86454456,Aeródromo
5002004,NARANJAL - LAS FONDAS,7IC,9.891271961,True,7IC,9.891271961,MQU,92.84917823,EOH,51.50936587,MDE,45.72457363,Aeródromo
5002016,LAS CANOAS,7IC,19.26601337,True,7IC,19.26601337,MQU,87.49334503,EOH,51.89031826,MDE,42.51647429,Aeródromo
5004000,ABRIAQUÍ,FRO,13.50601708,True,FRO,13.50601708,URR,34.89043443,EOH,69.56573892,MDE,87.91030801,Regional
5004003,POTREROS SECTOR 1,FRO,8.234839388,True,FRO,8.234839388,URR,39.02177131,EOH,74.7608145,MDE,92.93956458,Regional
5021000,ALEJANDRÍA,MDE,39.02132647,True,7FX,42.15076189,PBE,81.28087805,EOH,52.56427199,MDE,39.02132647,Internacional
5030000,AMAGÁ,EOH,23.66025736,True,7IC,31.46546954,URR,58.17017273,EOH,23.66025736,MDE,33.86065193,Internacional
5030001,CAMILO C,EOH,24.63417002,True,7IC,30.06753522,URR,59.24074196,EOH,24.63417002,MDE,34.09789757,Internacional
5030003,LA CLARITA,EOH,20.7293557,True,7IC,34.54180362,URR,56.61180221,EOH,20.7293557,MDE,32.3819343,Internacional
5030004,LA FERREIRA,EOH,21.85267957,True,7IC,34.31018331,URR,56.01628371,EOH,21.85267957,MDE,33.58881265,Internacional
5030005,LA GUALÍ,EOH,22.23612646,True,7IC,33.59028706,URR,56.59518808,EOH,22.23612646,MDE,33.57025661,Internacional
5030006,PIEDECUESTA,EOH,22.11047633,True,7IC,32.33152411,URR,58.28726954,EOH,22.11047633,MDE,32.50106082,Internacional
5030011,MINAS,EOH,20.05313493,True,7IC,35.51106568,URR,55.98425894,EOH,20.05313493,MDE,32.235259,Internacional
5030012,CAMILO C - ALTO DE LA VIRGEN,EOH,24.82640996,True,7IC,30.31469247,URR,58.78090722,EOH,24.82640996,MDE,34.52435874,Internacional
5030013,PIEDECUESTA - MANI DE LAS CASAS,EOH,21.66164459,True,7IC,32.8778748,URR,57.95017495,EOH,21.66164459,MDE,32.33420955,Internacional
5031000,AMALFI,AFI,4.299011388,True,AFI,4.299011388,OTU,41.94829268,EOH,95.21907068,MDE,91.26325511,Aeródromo
5031004,PORTACHUELO,AFI,16.94715444,True,AFI,16.94715444,OTU,32.88498579,EOH,97.76568231,MDE,89.60765275,Regional
5034000,ANDES,7IC,33.15988997,True,7IC,33.15988997,URR,79.99508465,EOH,70.32164554,MDE,75.68827751,Aeródromo
5034001,BUENOS AIRES,7IC,27.63366477,True,7IC,27.63366477,URR,79.21603059,EOH,65.63418628,MDE,70.35841871,Aeródromo
5034003,SAN JOSÉ,7IC,29.8698051,True,7IC,29.8698051,URR,72.22669186,EOH,62.11817051,MDE,68.68127353,Aeródromo
5034006,SANTA RITA,7IC,39.11131569,True,7IC,39.11131569,URR,83.22613183,EOH,76.64788435,MDE,82.19168107,Aeródromo
5034007,TAPARTÓ,7IC,40.86174354,False,7IC,40.86174354,URR,72.31281117,EOH,71.08668248,MDE,79.06428643,Sin cobertura
5034012,SANTA INÉS,7IC,40.28332325,False,7IC,40.28332325,URR,88.97742208,MZL,76.33477897,MDE,85.10879953,Sin cobertura
5034014,SAN BARTOLO,7IC,31.55937725,True,7IC,31.55937725,URR,83.01819894,EOH,71.03239787,MDE,75.49043316,Aeródromo
5034015,LA CHAPARRALA - LA UNIÓN,7IC,38.01444085,True,7IC,38.01444085,URR,78.72224985,EOH,73.12907779,MDE,79.45533195,Aeródromo
5036000,ANGELÓPOLIS,EOH,18.18093509,True,7IC,39.24834522,URR,53.29638061,EOH,18.18093509,MDE,32.4583519,Internacional
5036001,LA ESTACIÓN,EOH,19.60376033,True,7IC,36.32620332,URR,55.38403474,EOH,19.60376033,MDE,32.25240071,Internacional
5036006,SANTA RITA,EOH,18.84301142,True,7IC,38.11483242,URR,53.97783022,EOH,18.84301142,MDE,32.51782258,Internacional
5036011,CIENAGUITA,EOH,20.82798471,True,7IC,41.66853671,URR,49.13928507,EOH,20.82798471,MDE,36.37534302,Internacional
5038000,ANGOSTURA,7FX,18.48901521,True,7FX,18.48901521,OTU,69.7889027,EOH,79.11624367,MDE,80.72136189,Aeródromo
5038008,LLANOS DE CUIBA,7FX,23.81584503,True,7FX,23.81584503,OTU,87.99118897,EOH,66.86554679,MDE,72.4579481,Aeródromo
5040000,ANORÍ,AFI,22.83458261,True,AFI,22.83458261,OTU,48.2854606,EOH,106.8066966,MDE,105.6590225,Aeródromo
5040002,LIBERIA,EBG,31.7699944,True,AFI,54.33351286,EBG,31.7699944,EJA,137.372665,MDE,143.2140764,Regional
5040003,MONTEFRÍO,AFI,12.32208293,True,AFI,12.32208293,OTU,47.65567777,EOH,95.18367267,MDE,92.87605206,Aeródromo
5042000,SANTA FÉ DE ANTIOQUIA,FRO,39.79443882,True,FRO,39.79443882,URR,43.03568878,EOH,45.61823548,MDE,62.40456887,Aeródromo
5042002,LAURELES,URR,28.02630903,True,FRO,33.78848037,URR,28.02630903,EOH,49.66233564,MDE,68.43677213,Regional
5042006,EL PESCADO,URR,31.62268894,True,FRO,36.34049605,URR,31.62268894,EOH,46.67959591,MDE,65.16090576,Regional
5042007,SABANAS,URR,29.32032662,True,FRO,38.86023931,URR,29.32032662,EOH,44.5346783,MDE,63.35621196,Regional
5042008,KILOMETRO 2,FRO,37.70331546,True,FRO,37.70331546,URR,41.59929258,EOH,47.22302248,MDE,64.24844282,Aeródromo
5042009,PASO REAL,URR,41.32559853,False,FRO,42.94369992,URR,41.32559853,EOH,41.33107767,MDE,58.55141176,Sin cobertura
5044000,ANZÁ,EOH,30.58467825,True,FRO,56.71287649,URR,31.77779653,EOH,30.58467825,MDE,50.10375357,Nacional
