id,sigla,iata,nombre,municipio,departamento,id_categoriaaeropuerto,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio,year,fecha_inicio,fecha_fin,vigente
1,7FO,7FO,LA ISLA,Puerto Gaitán,Meta,A,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,1079,19,3000,538," 1325,000",2015-06-05,2018-06-11,1A,Fumigación,2,50,50568,2015,2009-01-01,2015-12-31,N
2,7FO,7FO,LA ISLA,Puerto Gaitán,Meta,A,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,1321,38,3000,538," 1325,000",2015-06-05,2018-06-11,1A,Fumigación,2,50,50568,2016,2016-01-01,2100-12-31,S
3,7FU,7FU,LA ESCONDIDA,Puerto Gaitán,Meta,A,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,2141,17,5000,564," 1843,000",2013-04-26,2016-05-07,1A,Aerocivil,24,50,50568,2014,2009-01-01,2014-12-31,N
4,7FU,7FU,LA ESCONDIDA,Puerto Gaitán,Meta,A,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,3853,5,5000,564," 1843,000",2013-04-26,2016-05-07,1A,Aerocivil,24,50,50568,2015,2015-01-01,2015-12-31,N
5,7FU,7FU,LA ESCONDIDA,Puerto Gaitán,Meta,A,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,6667,5,5000,564," 1843,000",2013-04-26,2016-05-07,1A,Público,12,50,50568,2016,2016-01-01,2100-12-31,S
6,7FW,7FW,MORICHITO,Hato Corozal,Casanare,A,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,1361,14,3500,720," 2220,000",2009-05-07,,1A,Privado,0,85,85125,2014,2009-01-01,2014-12-31,N
7,7FW,7FW,MORICHITO,Hato Corozal,Casanare,A,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,1442,4,3500,720," 2220,000",2009-05-07,,1A,Fumigación,0,85,85125,2015,2015-01-01,2015-12-31,N
8,7FW,7FW,MORICHITO,Hato Corozal,Casanare,A,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,2411,1,3500,720," 2220,000",2009-05-07,,1A,Aerocivil,0,85,85125,2016,2016-01-01,2100-12-31,S
9,7FX,7FX,CAROLINA DEL PRINCIPE,Carolina,Antioquia,A,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,452,0,1000,6004," 6470,000",2013-11-19,,1A,Público,0,5,5150,2014,2009-01-01,2014-12-31,N
10,7FX,7FX,CAROLINA DEL PRINCIPE,Carolina,Antioquia,A,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,518,0,1000,6004," 6470,000",2013-11-19,,1A,Fumigación,0,5,5150,2015,2015-01-01,2015-12-31,N
11,7FX,7FX,CAROLINA DEL PRINCIPE,Carolina,Antioquia,A,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,982,0,1000,6004," 6470,000",2013-11-19,,1A,Público,0,5,5150,2016,2016-01-01,2100-12-31,S
12,7FY,7FY,DUBAI,Ayapel,Córdoba,A,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,426,15,500,82," 1212,000",2013-03-20,,1A,Fumigación,0,23,23068,2014,2009-01-01,2014-12-31,N
13,7FY,7FY,DUBAI,Ayapel,Córdoba,A,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,814,15,500,82," 1212,000",2013-03-20,,1A,Aerocivil,0,23,23068,2015,2015-01-01,2015-12-31,N
14,7FY,7FY,DUBAI,Ayapel,Córdoba,A,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,1592,21,500,82," 1212,000",2013-03-20,,1A,Privado,0,23,23068,2016,2016-01-01,2100-12-31,S
