id_centro_poblado,nombre_centro_poblado,municipio,departamento
5001000,MEDELLÍN,MEDELLÍN,ANTIOQUIA
5001001,PALMITAS,MEDELLÍN,ANTIOQUIA
5001004,SANTA ELENA,MEDELLÍN,ANTIOQUIA
5001009,ALTAVISTA,MEDELLÍN,ANTIOQUIA
5001010,AGUAS FRÍAS,MEDELLÍN,ANTIOQUIA
5001012,LA LOMA,MEDELLÍN,ANTIOQUIA
5001013,SAN JOSÉ DEL MANZANILLO,MEDELLÍN,ANTIOQUIA
5001014,BARRO BLANCO,MEDELLÍN,ANTIOQUIA
5001015,EL CERRO,MEDELLÍN,ANTIOQUIA
5001017,EL PATIO,MEDELLÍN,ANTIOQUIA
5001018,EL PLACER,MEDELLÍN,ANTIOQUIA
5001019,EL PLAN,MEDELLÍN,ANTIOQUIA
5001022,LA ALDEA,MEDELLÍN,ANTIOQUIA
5001023,LA CUCHILLA,MEDELLÍN,ANTIOQUIA
5001025,LA PALMA,MEDELLÍN,ANTIOQUIA
5001027,LAS PLAYAS,MEDELLÍN,ANTIOQUIA
5001029,PIEDRA GORDA,MEDELLÍN,ANTIOQUIA
5001031,POTRERITO,MEDELLÍN,ANTIOQUIA
5001032,TRAVESÍAS,MEDELLÍN,ANTIOQUIA
5001033,URQUITA,MEDELLÍN,ANTIOQUIA
5001035,BOQUERÓN,MEDELLÍN,ANTIOQUIA
5001039,EL LLANO 1,MEDELLÍN,ANTIOQUIA
5001040,EL LLANO,MEDELLÍN,ANTIOQUIA
5001048,LA VERDE,MEDELLÍN,ANTIOQUIA
5001052,MATASANO,MEDELLÍN,ANTIOQUIA
5001054,MATASANO 2,MEDELLÍN,ANTIOQUIA
5001055,MAZO,MEDELLÍN,ANTIOQUIA
5001057,MEDIA LUNA,MEDELLÍN,ANTIOQUIA
5001066,LAS CAMELIAS,MEDELLÍN,ANTIOQUIA
5002000,ABEJORRAL,ABEJORRAL,ANTIOQUIA
5002002,PANTANILLO,ABEJORRAL,ANTIOQUIA
5002004,NARANJAL - LAS FONDAS,ABEJORRAL,ANTIOQUIA
5002016,LAS CANOAS,ABEJORRAL,ANTIOQUIA
5004000,ABRIAQUÍ,ABRIAQUÍ,ANTIOQUIA
5004003,POTREROS SECTOR 1,ABRIAQUÍ,ANTIOQUIA
5021000,ALEJANDRÍA,ALEJANDRÍA,ANTIOQUIA
5030000,AMAGÁ,AMAGÁ,ANTIOQUIA
5030001,CAMILO C,AMAGÁ,ANTIOQUIA
5030003,LA CLARITA,AMAGÁ,ANTIOQUIA
5030004,LA FERREIRA,AMAGÁ,ANTIOQUIA
5030005,LA GUALÍ,AMAGÁ,ANTIOQUIA
5030006,PIEDECUESTA,AMAGÁ,ANTIOQUIA
5030011,MINAS,AMAGÁ,ANTIOQUIA
5030012,CAMILO C - ALTO DE LA VIRGEN,AMAGÁ,ANTIOQUIA
5030013,PIEDECUESTA - MANI DE LAS CASAS,AMAGÁ,ANTIOQUIA
5031000,AMALFI,AMALFI,ANTIOQUIA
5031004,PORTACHUELO,AMALFI,ANTIOQUIA
5034000,ANDES,ANDES,ANTIOQUIA
5034001,BUENOS AIRES,ANDES,ANTIOQUIA
5034003,SAN JOSÉ,ANDES,ANTIOQUIA
5034006,SANTA RITA,ANDES,ANTIOQUIA
5034007,TAPARTÓ,ANDES,ANTIOQUIA
5034012,SANTA INÉS,ANDES,ANTIOQUIA
5034014,SAN BARTOLO,ANDES,ANTIOQUIA
5034015,LA CHAPARRALA - LA UNIÓN,ANDES,ANTIOQUIA
5036000,ANGELÓPOLIS,ANGELÓPOLIS,ANTIOQUIA
5036001,LA ESTACIÓN,ANGELÓPOLIS,ANTIOQUIA
5036006,SANTA RITA,ANGELÓPOLIS,ANTIOQUIA
5036011,CIENAGUITA,ANGELÓPOLIS,ANTIOQUIA
5038000,ANGOSTURA,ANGOSTURA,ANTIOQUIA
5038008,LLANOS DE CUIBA,ANGOSTURA,ANTIOQUIA
5040000,ANORÍ,ANORÍ,ANTIOQUIA
5040002,LIBERIA,ANORÍ,ANTIOQUIA
5040003,MONTEFRÍO,ANORÍ,ANTIOQUIA
5042000,SANTA FÉ DE ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5042002,LAURELES,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5042006,EL PESCADO,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5042007,SABANAS,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5042008,KILOMETRO 2,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5042009,PASO REAL,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA
5044000,ANZÁ,ANZÁ,ANTIOQUIA
5044001,GUINTAR,ANZÁ,ANTIOQUIA
5044005,LA CEJITA,ANZÁ,ANTIOQUIA
5044006,LA HIGUINA,ANZÁ,ANTIOQUIA
5045000,APARTADÓ,APARTADÓ,ANTIOQUIA
5045001,SAN JOSÉ DE APARTADÓ,APARTADÓ,ANTIOQUIA
5045002,CHURIDÓ,APARTADÓ,ANTIOQUIA
5045003,ZUNGO CARRETERA,APARTADÓ,ANTIOQUIA
5045007,LOS NARANJALES,APARTADÓ,ANTIOQUIA
5045008,VIJAGUAL,APARTADÓ,ANTIOQUIA
5045009,EL REPOSO,APARTADÓ,ANTIOQUIA
5045010,BAJO DEL OSO,APARTADÓ,ANTIOQUIA
5045011,EL SALVADOR,APARTADÓ,ANTIOQUIA
5045014,PUERTO GIRÓN,APARTADÓ,ANTIOQUIA
5045015,LOMA VERDE,APARTADÓ,ANTIOQUIA
5045016,SAN PABLO,APARTADÓ,ANTIOQUIA
5051000,ARBOLETES,ARBOLETES,ANTIOQUIA
5051001,BUENOS AIRES,ARBOLETES,ANTIOQUIA
5051003,EL CARMELO,ARBOLETES,ANTIOQUIA
5051005,LAS NARANJITAS,ARBOLETES,ANTIOQUIA
5051008,EL YESO,ARBOLETES,ANTIOQUIA
5051009,LA TRINIDAD,ARBOLETES,ANTIOQUIA
5051010,LAS PLATAS (SANTAFÉ),ARBOLETES,ANTIOQUIA
5051011,LA CANDELARIA,ARBOLETES,ANTIOQUIA
5051014,EL GUADUAL,ARBOLETES,ANTIOQUIA
5055000,ARGELIA,ARGELIA,ANTIOQUIA
5059000,ARMENIA,ARMENIA,ANTIOQUIA
5059001,LA HERRADURA,ARMENIA,ANTIOQUIA
5059003,EL SOCORRO,ARMENIA,ANTIOQUIA
5059006,FILO SECO,ARMENIA,ANTIOQUIA
5059009,PALMICHAL,ARMENIA,ANTIOQUIA
5079000,BARBOSA,BARBOSA,ANTIOQUIA
5079001,HATILLO,BARBOSA,ANTIOQUIA
5079005,PLATANITO,BARBOSA,ANTIOQUIA
5079008,ISAZA,BARBOSA,ANTIOQUIA
5079014,POPALITO,BARBOSA,ANTIOQUIA
5079016,YARUMITO,BARBOSA,ANTIOQUIA
5079017,TABLAZO - HATILLO,BARBOSA,ANTIOQUIA
5079018,EL PARAISO,BARBOSA,ANTIOQUIA
5079019,EL SALADITO,BARBOSA,ANTIOQUIA
5079020,LOMITA 1,BARBOSA,ANTIOQUIA
5079021,LOMITA 2,BARBOSA,ANTIOQUIA
5079022,LA PRIMAVERA,BARBOSA,ANTIOQUIA
5079023,TAMBORCITO,BARBOSA,ANTIOQUIA
5086000,BELMIRA,BELMIRA,ANTIOQUIA
5086001,LABORES,BELMIRA,ANTIOQUIA
5086003,RÍO ARRIBA,BELMIRA,ANTIOQUIA
5088000,BELLO,BELLO,ANTIOQUIA
5088008,POTRERITO,BELLO,ANTIOQUIA
5088013,SAN FÉLIX,BELLO,ANTIOQUIA
5088018,EL PINAR,BELLO,ANTIOQUIA
5088020,EL ALBERGUE,BELLO,ANTIOQUIA
5088022,LA CHINA,BELLO,ANTIOQUIA
5088023,LA UNIÓN,BELLO,ANTIOQUIA
5091000,BETANIA,BETANIA,ANTIOQUIA
5091003,SAN LUIS,BETANIA,ANTIOQUIA
5093000,BETULIA,BETULIA,ANTIOQUIA
5093001,ALTAMIRA,BETULIA,ANTIOQUIA
5101000,CIUDAD BOLÍVAR,CIUDAD BOLÍVAR,ANTIOQUIA
5101002,SAN BERNARDO DE LOS FARALLONES,CIUDAD BOLÍVAR,ANTIOQUIA
5101006,ALFONSO LÓPEZ (SAN GREGORIO),CIUDAD BOLÍVAR,ANTIOQUIA
5101008,VILLA ALEGRÍA,CIUDAD BOLÍVAR,ANTIOQUIA
5101010,EL CABRERO - BOLÍVAR ARRIBA,CIUDAD BOLÍVAR,ANTIOQUIA
5107000,BRICEÑO,BRICEÑO,ANTIOQUIA
5107001,BERLÍN (PUEBLO NUEVO),BRICEÑO,ANTIOQUIA
5107002,EL ROBLAL,BRICEÑO,ANTIOQUIA
